Time Agent Velocity distanceToNearestPerson distanceToNearestObstacle
23.4678 20 0.775736 2.24708 2.31193
24.4828 0 0.2 1.768 1.29808
24.4828 1 0.709784 2.06932 1.6
24.4828 2 0.421749 1.43321 2.42539
24.4828 3 0.466488 1.43321 2.05
24.4828 4 0.894767 1.36778 2.75
24.4828 5 0.359723 1.44151 1.3
24.4828 6 0.400051 2.06932 2.2
24.4828 7 0.549219 2.78026 2.27706
24.4828 8 0.110391 1.36778 2.4
24.4828 9 0.438678 2.03471 0.88459
24.4828 10 0.575123 2.12908 1.76777
24.4828 11 0.330507 1.768 2.79016
24.4828 12 0.233715 2.32751 1.20208
24.4828 13 0.61755 2.14273 3.04138
24.4828 14 0.292849 2.71504 1.5
24.4828 15 0.342549 2.70984 1.64469
24.4828 16 0.0100046 2.14273 1.56285
24.4828 17 0.303757 2.03471 2.10535
24.4828 18 0.360317 4.23186 1.9
24.4828 19 0.361567 2.12724 2.35
24.4828 20 0.621683 2.12724 2.2
25.5125 0 0.3 1.54601 1.23693
25.5125 1 0.491881 1.7458 1.35
25.5125 2 0.572637 1.92897 2.04022
25.5125 3 0.414028 1.92897 1.7
25.5125 4 0.776075 2.00067 2.55
25.5125 5 0.407421 1.56888 1.6
25.5125 6 0.39532 1.7458 2.55
25.5125 7 0.560088 3.0156 1.68077
25.5125 8 0.353864 1.56888 2.55
25.5125 9 0.538458 1.46874 1.32098
25.5125 10 0.533599 1.90412 2.4052
25.5125 11 0.488463 1.54601 2.5387
25.5125 12 0.415599 1.86085 1.55724
25.5125 13 0.670892 2.06615 2.66317
25.5125 14 0.467817 2.64821 1.85
25.5125 15 0.0441808 2.59774 1.74642
25.5125 16 0.228391 2.06615 1.58902
25.5125 17 0.472335 1.46874 2.25
25.5125 18 0.500922 3.60956 2.15
25.5125 19 0.548616 2.23901 2.25
25.5125 20 0.385992 2.09362 1.9
26.5229 0 0.6 1.547 1.1
26.5229 1 0.384871 1.4428 1.35
26.5229 2 0.693034 2.49306 1.61245
26.5229 3 0.373457 2.49306 1.6
26.5229 4 0.498588 1.82903 2.15
26.5229 5 0.526428 1.59306 1.8
26.5229 6 0.387067 1.4428 2.7
26.5229 7 0.430402 2.90712 1.20208
26.5229 8 0.539718 1.51133 2.67255
26.5229 9 0.359832 1.07031 1.74642
26.5229 10 0.250795 2.05788 2.76586
26.5229 11 0.523741 1.547 2.3585
26.5229 12 0.576078 1.51133 2.05061
26.5229 13 0.648545 1.7495 2.37065
26.5229 14 0.618463 2.56536 2.3
26.5229 15 0.227062 2.83436 1.69189
26.5229 16 0.426028 2.01356 1.74642
26.5229 17 0.520888 1.07031 2.52438
26.5229 18 0.602415 2.77893 2.35
26.5229 19 0.381344 2.42555 2.1
26.5229 20 0.248759 1.7495 1.8
27.5353 0 0.6 1.46407 1.38293
27.5353 1 0.380706 1.1396 1.6
27.5353 2 0.747266 2.53347 1.42127
27.5353 3 0.398013 3.02784 1.75071
27.5353 4 0.333316 1.7603 1.75
27.5353 5 0.651686 1.78946 1.8
27.5353 6 0.347582 1.1396 2.7
27.5353 7 0.369403 2.4695 1.15109
27.5353 8 0.586967 1.77418 2.09881
27.5353 9 0.31192 0.960385 2.08147
27.5353 10 0.15148 2.25239 2.82002
27.5353 11 0.120608 1.46407 2.17083
27.5353 12 0.705177 1.7603 2.68794
27.5353 13 0.279015 1.50137 2.22991
27.5353 14 0.744316 2.08793 2.75
27.5353 15 0.4163 3.3676 1.57003
27.5353 16 0.583372 1.88781 2.01556
27.5353 17 0.434629 0.960385 2.45
27.5353 18 0.672181 2.08793 2.5
27.5353 19 0.20124 2.41249 1.9
27.5353 20 0.153028 1.50137 1.85
28.5445 0 0 1.59432 1.69189
28.5445 1 0.452472 0.936328 1.95
28.5445 2 0.669751 1.81925 1.66208
28.5445 3 0.338663 3.39599 2.1
28.5445 4 0.295919 1.68467 1.5
28.5445 5 0.4918 2.18014 1.75
28.5445 6 0.29631 0.936328 2.6
28.5445 7 0.466393 1.81925 1.35
28.5445 8 0.520392 2.18014 1.57877
